"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"13","354.454211909833","273.66028259360115","4.556976802504636","-0.31377871528415735","0.04279999999999995","0.0484","0.03720000000000001","1216","0.00026220021722627216","0","0.00026220021722627216","0.00026220021722627216","","","true"
"14","295.32189402266863","68.77298409677555","4.510048501832088","-0.3157712274724498","0.028699999999999948","0.040000000000000036","0.0174","1216","0.0007226118676619934","0","0.0007226118676619934","0.0007226118676619934","14_0:0.012363921596353716;14_18:0.01080124510983041","14_0:533.3333333333333;14_18:533.3333333333333","true"
"15","437.12611775626425","259.9982576582819","4.599052211585765","-0.32044986829453664","0.08739999999999992","0.0788","0.09599999999999997","1216","0.0006186374275615976","0","0.0006186374275615976","0.0006186374275615976","","","true"
"16","295.9714794526211","21.74839073043586","4.937433915435484","-0.3088315131283205","0.08339999999999992","0.0658","0.10099999999999998","1216","0.0011177423977005681","0","0.0011177423977005681","0.0011177423977005681","16_8:0.02081859732083896","16_8:533.3333333333333","true"
"17","358.77747238262947","78.57618909732352","4.752796046027558","-0.31153154230934604","0.014399999999999968","0.01759999999999995","0.0112","1216","0.000440178995555072","0","0.000440178995555072","0.000440178995555072","17_12:0.006855933043510953;17_30:0.005082111663999467","17_12:590.2222222222222;17_30:590.2222222222222","true"
"18","302.4228713480006","20.58752714915514","4.659441383854667","-0.2892599847835004","0.05730000000000002","0.0552","0.05940000000000001","1216","0.00035956965371280656","0","0.00035956965371280656","0.00035956965371280656","18_19:0.012100968692157765","18_19:533.3333333333333","true"
"19","512.7753163289666","87.49170960144426","4.820724754835776","-0.31198328628677313","0.033499999999999974","0.03859999999999997","0.0284","1216","0.00020072202344941116","0","0.00020072202344941116","0.00020072202344941116","19_20:0.0035262784136601277","19_20:533.3333333333333","true"
"20","415.06533109810306","73.25045631558761","4.738281537383697","-0.3119696404967832","0.052999999999999936","0.049799999999999955","0.0562","1216","0.0002369606107099625","0","0.0002369606107099625","0.0002369606107099625","20_33:0.01165118392530054","20_33:533.3333333333333","true"
"21","337.2582365400414","25.855574346276374","4.773884418536997","-0.3114254225761893","0.08899999999999997","0.08760000000000001","0.0904","1216","0.0002188629061103086","0","0.0002188629061103086","0.0002188629061103086","21_22:0.009732278746386519;21_20:0.008985418180338267","21_22:803.5555555555555;21_20:533.3333333333333","true"
"22","352.7354412403235","229.38591965492373","4.668485116083367","-0.31331663183442576","0.03320000000000001","0.040000000000000036","0.0264","1216","0.00011625000735903319","0","0.00011625000735903319","0.00011625000735903319","22_15:0.03802635200205248","22_15:590.2222222222222","true"
"23","171.42530806795705","19.954465756560367","4.75809372458223","-0.31173856129806604","0.010399999999999965","0.014000000000000012","0.0068","1216","0.00037691429126686035","0","0.00037691429126686035","0.00037691429126686035","23_24:0.018409484472492826;23_22:0.010190304148675555","23_24:533.3333333333333;23_22:533.3333333333333","true"
"24","98.7687234780919","17.133995374846307","4.611448454806462","-0.31354982608399573","0.03510000000000002","0.030200000000000005","0.04","1216","0.0006251671684363929","0","0.0006251671684363929","0.0006251671684363929","","","true"
"25","221.47963823280654","327.8397038903093","4.731645269835475","-0.3122550841543125","0.02090000000000003","0.02100000000000002","0.0208","1216","0.00013375672392353447","0","0.00013375672392353447","0.00013375672392353447","25_24:0.009695843570915574","25_24:533.3333333333333","true"
"26","334.38008511480683","115.50262921922177","4.777297396817984","-0.31228117808626144","0.005900000000000016","0.007000000000000006","0.0048","1216","0.0001319785628428884","0","0.0001319785628428884","0.0001319785628428884","26_25:0.0036710809589113325;26_16:0.022059828576820234;26_27:0.00388066100193174","26_25:533.3333333333333;26_16:533.3333333333333;26_27:533.3333333333333","true"
"27","341.43913771909746","115.70520983520801","4.6803602306776435","-0.31282791406798793","0.009500000000000064","0.01100000000000001","0.008","1216","0.000135916367712821","0","0.000135916367712821","0.000135916367712821","","","true"
