"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"84","249.21243791069105","199.71305397616257","4.74961012211847","-0.3090225667525716","0.0032999999999999696","0.0033999999999999586","0.0032","1244.4444444444443","0.0001404862907860965","0","0.0001404862907860965","0.0001404862907860965","84_83:0.004642112430311818","84_83:561.7777777777777","true"
"85","373.7272327579361","232.63813726177563","4.5869265162916575","-0.31154756735554556","0.01639999999999997","0.0108","0.02200000000000002","1244.4444444444443","0.0001307894063509811","0","0.0001307894063509811","0.0001307894063509811","85_86:0.04226895697733332;85_84:0.013150960765601072","85_86:561.7777777777777;85_84:561.7777777777777","true"
"86","253.6329357885551","136.22412477453085","4.756410419074719","-0.32580689050206485","0.04239999999999999","0.040000000000000036","0.0448","1244.4444444444443","0.0006869253047392134","0","0.0006869253047392134","0.0006869253047392134","","","true"
"87","176.99149715331717","53.07395843083451","4.7250819283764365","0","0.01770000000000005","0.019399999999999973","0.016","1244.4444444444443","0.0005259497968222862","0","0.0005259497968222862","0.0005259497968222862","87_93:0.018547367966593953;87_86:0.014318159853667772","87_93:561.7777777777777;87_86:561.7777777777777","true"
"88","65.46696151624592","27.382156621997936","4.566473476332737","-0.30765951332138847","0.0232","0.03300000000000003","0.0134","1244.4444444444443","0.002053907444370241","0","0.002053907444370241","0.002053907444370241","88_89:0.021817927335580523;88_87:0.025136151287257935","88_89:561.7777777777777;88_87:561.7777777777777","true"
"89","290.6383671265941","207.73761126925527","4.796713970578351","-0.3069228576805572","0.03970000000000007","0.04420000000000002","0.0352","1244.4444444444443","0.00011133333552961169","0","0.00011133333552961169","0.00011133333552961169","89_74:0.017575015332852273","89_74:561.7777777777777","true"
"90","45.322237768633386","35.7584411392111","4.704373141212216","-0.2860621408681651","0.10770000000000002","0.17920000000000003","0.0362","1244.4444444444443","0.005106934272071703","0","0.005106934272071703","0.005106934272071703","","","true"
"91","225.36523442478023","90.75008502734048","4.709013243886367","-0.3103704189122232","0.03300000000000003","0.062000000000000055","0.004","1244.4444444444443","0.0002824922100177811","0","0.0002824922100177811","0.0002824922100177811","91_79:0.018027695582119946;91_98:0.01310638555032756","91_79:561.7777777777777;91_98:561.7777777777777","true"
"92","205.80844936180085","64.24680077560367","4.729510697759972","-0.3071779631697473","0.0026999999999999247","0.0041999999999999815","0.0012","1244.4444444444443","0.00018393712699964624","0","0.00018393712699964624","0.00018393712699964624","92_83:0.010266682549834483;92_102:1","92_83:561.7777777777777;92_102:561.7777777777777","true"
"93","213.82018104807005","171.65441269975884","4.678340302990196","0","0.008399999999999963","0.010000000000000009","0.0068","1244.4444444444443","0.0005281818888880422","0","0.0005281818888880422","0.0005281818888880422","93_106:0.015286922274892867","93_106:561.7777777777777","true"
"94","184.25411017258372","193.70945463420622","4.876126101905549","-0.3062539208243005","0.0025999999999999357","0.0028","0.0023999999999999577","1244.4444444444443","0.00018003623353121266","0","0.00018003623353121266","0.00018003623353121266","94_90:0.015422882148448835;94_95:0.01783436783233916","94_90:561.7777777777777;94_95:561.7777777777777","true"
"95","229.00662352922902","20.713174492272618","4.59707983337405","-0.3136135264289027","0.006199999999999983","0.011199999999999988","0.0012","1244.4444444444443","0.0001539172259621071","0","0.0001539172259621071","0.0001539172259621071","","","true"
"96","271.7802426641838","34.28792212606269","4.733056411528444","0","0.0038000000000000256","0.0052","0.0023999999999999577","1244.4444444444443","0.00015738179356926618","0","0.00015738179356926618","0.00015738179356926618","96_95:0.01452479373143295;96_109:0.006801191151483643;96_97:0.007377298292325085","96_95:561.7777777777777;96_109:561.7777777777777;96_97:561.7777777777777","true"
"97","138.43100237875686","129.08372105456544","4.8068161538617185","-0.3064623934471557","0.0016000000000000458","0.0031999999999999806","0","1244.4444444444443","0.0002540808838899613","0","0.0002540808838899613","0.0002540808838899613","97_98:0.011609900164568365","97_98:561.7777777777777","true"
"98","154.7519371155084","37.846344241101846","4.608988314239632","-0.31190721922188297","0.0039000000000000146","0.006800000000000028","0.001","1244.4444444444443","0.0005062102349027155","0","0.0005062102349027155","0.0005062102349027155","98_99:0.02130877736374784","98_99:561.7777777777777","true"
"99","25.70019797226473","23.626200940251845","4.574502104075121","-0.31063982957359515","0.007500000000000062","0.014000000000000012","0.001","1244.4444444444443","0.000996520242317393","0","0.000996520242317393","0.000996520242317393","","","true"
"100","226.66605296329934","96.1664767101891","4.64731838781458","-0.31098646352761034","0.009800000000000031","0.018399999999999972","0.0012","1244.4444444444443","0.000332735349583443","0","0.000332735349583443","0.000332735349583443","100_99:0.024908893038714047;100_110:0.024273758851124844","100_99:561.7777777777777;100_110:561.7777777777777","true"
"101","87.27102001774216","179.04866816896896","4.724305081360205","-0.3097143441409694","0.0040999999999999925","0.007800000000000029","0.0004","1244.4444444444443","0.0003565683273467279","0","0.0003565683273467279","0.0003565683273467279","101_100:0.008521866302154901;101_102:1","101_100:561.7777777777777;101_102:561.7777777777777","true"
"102","231.077409179448","167.3405526464022","4.603988998545907","-0.31164130137993934","0.026999999999999913","0.0274","0.026599999999999957","1244.4444444444443","0.00017846031412558733","0","0.00017846031412558733","0.00017846031412558733","","","true"
